PLAYER_NAME,HEIGHT
AJ Price,6-2
Aaron Brooks,6-0
Aaron Gordon,6-8
Adreian Payne,6-10
Al Horford,6-9
Al Jefferson,6-10
Al-Farouq Aminu,6-8
Alan Anderson,6-6
Alec Burks,6-5
Alex Kirk,7-0
Alex Len,7-0
Alexey Shved,6-6
Alexis Ajinca,7-2
Allen Crabbe,6-5
Alonzo Gee,6-6
Amar'e Stoudemire,6-10
Amir Johnson,6-9
Anderson Varejao,6-11
Andre Dawkins,6-5
Andre Drummond,6-11
Andre Iguodala,6-6
Andre Miller,6-3
Andre Roberson,6-7
Andrea Bargnani,7-0
Andrei Kirilenko,6-9
Andrew Bogut,7-0
Andrew Nicholson,6-9
Andrew Wiggins,6-7
Anthony Bennett,6-8
Anthony Davis,6-10
Anthony Morrow,6-5
Anthony Tolliver,6-8
Archie Goodwin,6-5
Arinze Onuaku,6-9
Aron Baynes,6-10
Arron Afflalo,6-5
Austin Daye,6-11
Austin Rivers,6-4
Avery Bradley,6-3
Ben Gordon,6-3
Ben McLemore,6-3
Beno Udrih,6-3
Bernard James,6-10
Bismack Biyombo,6-8
Blake Griffin,6-9
Bojan Bogdanović,6-7
Boris Diaw,6-8
Bradley Beal,6-4
Brandan Wright,6-10
Brandon Bass,6-8
Brandon Davies,6-10
Brandon Jennings,6-1
Brandon Knight,6-2
Brandon Rush,6-6
Brendan Haywood,7-0
Brian Roberts,6-1
Brook Lopez,7-1
Bruno Caboclo,6-9
Bryce Cotton,6-1
C.J. Watson,6-2
C.J. Wilcox,6-5
CJ McCollum,6-3
CJ Miles,6-6
Cameron Bairstow,6-9
Carl Landry,6-9
Carlos Boozer,6-9
Carmelo Anthony,6-7
Caron Butler,6-7
Cartier Martin,6-7
Chandler Parsons,6-9
Channing Frye,7-0
Charlie Villanueva,6-11
Chase Budinger,6-7
Chris Andersen,6-10
Chris Bosh,6-11
Chris Copeland,6-9
Chris Douglas-Roberts,6-7
Chris Johnson,6-6
Chris Kaman,7-0
Chris Paul,6-0
Chuck Hayes,6-6
Cleanthony Early,6-8
Clint Capela,6-10
Cody Zeller,6-11
Cole Aldrich,6-11
Corey Brewer,6-9
Cory Jefferson,6-9
Cory Joseph,6-2
Courtney Lee,6-5
D.J. Augustin,5-11
Dahntay Jones,6-6
Damian Lillard,6-2
Damjan Rudez,6-10
Danilo Gallinari,6-10
Danny Granger,6-9
Danny Green,6-6
Dante Cunningham,6-8
Danté Exum,6-5
Darius Miller,6-6
Darius Morris,6-4
Darrell Arthur,6-9
Darren Collison,6-0
David Lee,6-9
David Stockton,5-11
David Wear,6-10
David West,6-9
DeAndre Jordan,6-11
DeJuan Blair,6-7
DeMar DeRozan,6-6
DeMarcus Cousins,6-10
DeMarre Carroll,6-6
Dennis Schröder,6-1
Deron Williams,6-3
Derrick Favors,6-9
Derrick Rose,6-3
Derrick Williams,6-8
Devin Harris,6-3
Devyn Marble,6-6
Dewayne Dedmon,6-10
Dion Waiters,6-3
Dirk Nowitzki,7-0
Donald Sloan,6-3
Donatas Motiejunas,7-0
Dorell Wright,6-9
Doug McDermott,6-6
Draymond Green,6-6
Drew Gooden,6-10
Drew Gordon,6-9
Dwight Buycks,6-3
Dwight Howard,6-10
Dwight Powell,6-10
Dwyane Wade,6-4
E'Twaun Moore,6-3
Earl Barron,7-0
Earl Clark,6-10
Ed Davis,6-9
Ekpe Udoh,6-10
Elfrid Payton,6-3
Elijah Millsap,6-7
Elliot Williams,6-5
Elton Brand,6-9
Enes Freedom,6-10
Eric Bledsoe,6-1
Eric Gordon,6-3
Eric Moreland,6-10
Erick Green,6-4
Ersan Ilyasova,6-9
Evan Fournier,6-6
Evan Turner,6-6
Festus Ezeli,6-11
Francisco Garcia,6-7
Furkan Aldemir,6-10
Gal Mekel,6-3
Garrett Temple,6-5
Gary Harris,6-4
Gary Neal,6-4
George Hill,6-4
Gerald Green,6-7
Gerald Henderson,6-5
Gerald Wallace,6-7
Giannis Antetokounmpo,6-11
Gigi Datome,6-8
Glen Davis,6-9
Glen Rice,6-6
Glenn Robinson III,6-6
Goran Dragic,6-4
Gordon Hayward,6-7
Gorgui Dieng,6-10
Grant Jerrett,6-10
Greg Monroe,6-10
Greg Smith,6-10
Greg Stiemsma,6-11
Greivis Vasquez,6-6
Harrison Barnes,6-8
Hassan Whiteside,7-0
Hedo Turkoglu,6-10
Henry Sims,6-10
Henry Walker,6-6
Hollis Thompson,6-8
Ian Clark,6-3
Ian Mahinmi,6-11
Iman Shumpert,6-5
Isaiah Canaan,6-0
Isaiah Thomas,5-9
Ish Smith,6-0
J.J. Barea,5-10
JJ Hickson,6-9
JJ Redick,6-3
JR Smith,6-6
JaKarr Sampson,6-7
JaMychal Green,6-9
JaVale McGee,7-0
Jabari Brown,6-5
Jabari Parker,6-7
Jack Cooley,6-10
Jae Crowder,6-6
Jamaal Franklin,6-5
Jamal Crawford,6-5
Jameer Nelson,6-0
James Ennis III,6-6
James Harden,6-5
James Johnson,6-7
James Jones,6-8
James Michael McAdoo,6-9
James Young,6-6
Jannero Pargo,6-1
Jared Cunningham,6-4
Jared Dudley,6-6
Jared Sullinger,6-9
Jarnell Stokes,6-9
Jarrett Jack,6-3
Jason Maxiell,6-7
Jason Richardson,6-6
Jason Smith,7-0
Jason Terry,6-2
Jason Thompson,6-11
Jeff Adrien,
Jeff Ayres,6-9
Jeff Green,6-8
Jeff Teague,6-3
Jeff Withey,7-0
Jeffery Taylor,
Jerami Grant,6-7
Jerel McNeal,6-3
Jeremy Evans,6-9
Jeremy Lamb,6-5
Jeremy Lin,6-3
Jerome Jordan,7-0
Jerrelle Benimon,
Jerryd Bayless,6-3
Jimmer Fredette,6-2
Jimmy Butler,6-7
Joakim Noah,6-11
Jodie Meeks,6-4
Joe Harris,6-6
Joe Ingles,6-8
Joe Johnson,6-7
Joel Anthony,6-9
Joel Freeland,6-10
Joey Dorsey,
Joffrey Lauvergne,6-11
John Henson,6-9
John Jenkins,6-4
John Lucas III,5-11
John Salmons,6-6
John Wall,6-3
Johnny O'Bryant III,6-9
Jon Leuer,6-10
Jonas Jerebko,6-10
Jonas Valančiūnas,6-11
Jordan Adams,6-5
Jordan Clarkson,6-3
Jordan Farmar,6-2
Jordan Hamilton,6-7
Jordan Hill,6-10
Jorge Gutierrez,6-3
Jose Calderon,6-3
Josh McRoberts,6-10
Josh Smith,6-9
Jrue Holiday,6-4
Julius Randle,6-9
Justin Hamilton,7-0
Justin Holiday,6-6
Jusuf Nurkić,7-0
KJ McDaniels,6-6
Kalin Lucas,6-1
Kawhi Leonard,6-7
Kelly Olynyk,6-11
Kemba Walker,6-0
Kendall Marshall,6-4
Kendrick Perkins,6-10
