PLAYER_NAME,HEIGHT,PLAYER_ID
AJ Price,6-2,201985
Aaron Brooks,6-0,201166
Aaron Gordon,6-8,203932
Adreian Payne,6-10,203940
Al Horford,6-9,201143
Al Jefferson,6-10,2744
Al-Farouq Aminu,6-8,202329
Alan Anderson,6-6,101187
Alec Burks,6-5,202692
Alex Kirk,7-0,203945
Alex Len,7-0,203458
Alexey Shved,6-6,203144
Alexis Ajinca,7-2,201582
Allen Crabbe,6-5,203459
Alonzo Gee,6-6,202087
Amar'e Stoudemire,6-10,2405
Amir Johnson,6-9,101161
Anderson Varejao,6-11,2760
Andre Dawkins,6-5,203958
Andre Drummond,6-11,203083
Andre Iguodala,6-6,2738
Andre Miller,6-3,1889
Andre Roberson,6-7,203460
Andrea Bargnani,7-0,200745
Andrei Kirilenko,6-9,1905
Andrew Bogut,7-0,101106
Andrew Nicholson,6-9,203094
Andrew Wiggins,6-7,203952
Anthony Bennett,6-8,203461
Anthony Davis,6-10,203076
Anthony Morrow,6-5,201627
Anthony Tolliver,6-8,201229
Archie Goodwin,6-5,203462
Arinze Onuaku,6-9,202620
Aron Baynes,6-10,203382
Arron Afflalo,6-5,201167
Austin Daye,6-11,201948
Austin Rivers,6-4,203085
Avery Bradley,6-3,202340
Ben Gordon,6-3,2732
Ben McLemore,6-3,203463
Beno Udrih,6-3,2757
Bernard James,6-10,203108
Bismack Biyombo,6-8,202687
Blake Griffin,6-9,201933
Bojan Bogdanović,6-7,
Boris Diaw,6-8,2564
Bradley Beal,6-4,203078
Brandan Wright,6-10,201148
Brandon Bass,6-8,101138
Brandon Davies,6-10,203561
Brandon Jennings,6-1,201943
Brandon Knight,6-2,202688
Brandon Rush,6-6,201575
Brendan Haywood,7-0,2217
Brian Roberts,6-1,203148
Brook Lopez,7-1,201572
Bruno Caboclo,6-9,203998
Bryce Cotton,6-1,203955
C.J. Watson,6-2,201228
C.J. Wilcox,6-5,203912
CJ McCollum,6-3,203468
CJ Miles,6-6,101139
Cameron Bairstow,6-9,203946
Carl Landry,6-9,201171
Carlos Boozer,6-9,2430
Carmelo Anthony,6-7,2546
Caron Butler,6-7,2406
Cartier Martin,6-7,201858
Chandler Parsons,6-9,202718
Channing Frye,7-0,101112
Charlie Villanueva,6-11,101111
Chase Budinger,6-7,201978
Chris Andersen,6-10,2365
Chris Bosh,6-11,2547
Chris Copeland,6-9,203142
Chris Douglas-Roberts,6-7,201604
Chris Johnson,6-6,203187
Chris Kaman,7-0,2549
Chris Paul,6-0,101108
Chuck Hayes,6-6,101236
Cleanthony Early,6-8,203921
Clint Capela,6-10,203991
Cody Zeller,6-11,203469
Cole Aldrich,6-11,202332
Corey Brewer,6-9,201147
Cory Jefferson,6-9,203928
Cory Joseph,6-2,202709
Courtney Lee,6-5,201584
D.J. Augustin,5-11,201571
Dahntay Jones,6-6,2563
Damian Lillard,6-2,203081
Damjan Rudez,6-10,204014
Danilo Gallinari,6-10,201568
Danny Granger,6-9,101122
Danny Green,6-6,201980
Dante Cunningham,6-8,201967
Darius Miller,6-6,203121
Darius Morris,6-4,202721
Darrell Arthur,6-9,201589
Darren Collison,6-0,201954
David Lee,6-9,101135
David Stockton,5-11,204065
David Wear,6-10,204033
David West,6-9,2561
DeAndre Jordan,6-11,201599
DeJuan Blair,6-7,201971
DeMar DeRozan,6-6,201942
DeMarcus Cousins,6-10,202326
DeMarre Carroll,6-6,201960
Deron Williams,6-3,101114
Derrick Favors,6-9,202324
Derrick Rose,6-3,201565
Derrick Williams,6-8,202682
Devin Harris,6-3,2734
Devyn Marble,6-6,203906
Dewayne Dedmon,6-10,203473
Dion Waiters,6-3,203079
Dirk Nowitzki,7-0,1717
Donald Sloan,6-3,202388
Donatas Motiejunas,7-0,202700
Dorell Wright,6-9,2748
Doug McDermott,6-6,203926
Draymond Green,6-6,203110
Drew Gooden,6-10,2400
Drew Gordon,6-9,204079
Dwight Buycks,6-3,202779
Dwight Howard,6-10,2730
Dwight Powell,6-10,203939
Dwyane Wade,6-4,2548
E'Twaun Moore,6-3,202734
Earl Barron,7-0,2853
Earl Clark,6-10,201947
Ed Davis,6-9,202334
Ekpe Udoh,6-10,202327
Elfrid Payton,6-3,203901
Elijah Millsap,6-7,202407
Elliot Williams,6-5,202343
Elton Brand,6-9,1882
Enes Freedom,6-10,202683
